채널,상품,주차,매출,수량
쿠팡,루테인,5주차,7980.0,1.0
쿠팡,루테인,5주차,19900.0,1.0
쿠팡,밀크씨슬,5주차,7980.0,1.0
쿠팡,밀크씨슬,5주차,47780.0,2.0
쿠팡,비타민C,5주차,19900.0,1.0
쿠팡,세트/기획전,5주차,11950.0,1.0
쿠팡,올리브오일,5주차,23940.0,3.0
쿠팡,올리브오일,5주차,557200.0,28.0
쿠팡,올리브오일,5주차,25390.0,1.0
쿠팡,올리브오일,5주차,286680.0,12.0
쿠팡,칼마디아K,5주차,3990.0,1.0
쿠팡,칼마디아K,5주차,7980.0,1.0
쿠팡,칼마디아K,5주차,47780.0,2.0
쿠팡,코엔자임Q10,5주차,421940.0,20.0
쿠팡,마그네슘,5주차,67680.0,3.0
쿠팡,혈당컷,5주차,3990.0,1.0
쿠팡,혈당컷,5주차,23900.0,2.0
쿠팡,혈당컷,5주차,99500.0,5.0
쿠팡,혈당컷,5주차,95560.0,4.0
GS SHOP,코엔자임Q10,5주차,532973.0,49.0
GS SHOP,코엔자임Q10,5주차,235644.0,12.0
GS SHOP,코엔자임Q10,5주차,425955.0,15.0
GS SHOP,MSM,5주차,61028.0,4.0
GS SHOP,루테인,5주차,65262.0,6.0
GS SHOP,멀티비타민,5주차,76139.0,7.0
GS SHOP,밀크씨슬,5주차,139284.0,12.0
GS SHOP,비타민C,5주차,54385.0,5.0
GS SHOP,오메가3,5주차,954402.0,66.0
GS SHOP,올리브오일,5주차,1361893.0,116.0
GS SHOP,칼마디아K,5주차,135050.0,10.0
GS SHOP,혈당컷,5주차,684302.0,46.0
GS SHOP,기타/PB,5주차,28397.0,1.0
GS SHOP,기타/PB,5주차,28397.0,1.0
GS SHOP,기타/PB,5주차,28397.0,1.0
GS SHOP,세트/기획전,5주차,402449.0,37.0
11번가,오메가3,5주차,15960.0,4.0
11번가,밀크씨슬,5주차,3990.0,1.0
11번가,오메가3,5주차,11970.0,1.0
11번가,올리브오일,5주차,3990.0,1.0
