채널,상품명,상품,주차,매출,수량
11번가,클라리온 밀크씨슬 비타민B 30정 24g 1박스 간영양제,밀크씨슬,2주차,3990.0,1.0
11번가,클라리온 밀크씨슬 비타민B 30정 24g 3박스 간영양제,밀크씨슬,2주차,11950.0,1.0
11번가,클라리온 밀크씨슬 비타민B 30정 24g 5박스 간영양제,밀크씨슬,2주차,19900.0,1.0
11번가,클라리온 밀크씨슬 비타민B 30정 24g 5박스 간영양제,밀크씨슬,3주차,19900.0,1.0
11번가,클라리온 비타민C 30정 30g 1박스,비타민C,1주차,3990.0,1.0
11번가,클라리온 비타민C 30정 30g 1박스,비타민C,2주차,3990.0,1.0
11번가,클라리온 비타민C 30정 30g 5박스,비타민C,1주차,19950.0,1.0
11번가,"클라리온 알티지 오메가3 30캡슐, 3개",오메가3,1주차,35910.0,3.0
11번가,"클라리온 알티지 오메가3 30캡슐, 3개",오메가3,2주차,23940.0,2.0
11번가,클라리온 엠에스엠 MSM 60정 54g 1박스 관절 연골,MSM,1주차,39900.0,10.0
11번가,클라리온 엠에스엠 MSM 60정 54g 3박스 관절 연골,MSM,1주차,11970.0,1.0
11번가,클라리온 엠에스엠 MSM 60정 54g 3박스 관절 연골,MSM,2주차,11970.0,1.0
11번가,클라리온 엠에스엠 MSM 60정 54g 5박스 관절 연골,MSM,1주차,19950.0,1.0
11번가,클라리온 유기농 올리브오일 30캡슐 30g 1박스 올리브캡슐 스페인산 냉압착 저산도 엑스트라버진,올리브오일,1주차,15960.0,4.0
11번가,클라리온 유기농 올리브오일 30캡슐 30g 3박스 올리브캡슐 스페인산 냉압착 저산도 엑스트라버진,올리브오일,2주차,59850.0,5.0
11번가,클라리온 유기농 올리브오일 30캡슐 30g 3박스 올리브캡슐 스페인산 냉압착 저산도 엑스트라버진,올리브오일,3주차,11970.0,1.0
11번가,클라리온 유기농 올리브오일 30캡슐 30g 5박스 올리브캡슐 스페인산 냉압착 저산도 엑스트라버진,올리브오일,1주차,99750.0,5.0
11번가,클라리온 유기농 올리브오일 30캡슐 30g 5박스 올리브캡슐 스페인산 냉압착 저산도 엑스트라버진,올리브오일,2주차,59850.0,3.0
11번가,클라리온 유기농 올리브오일 30캡슐 30g 5박스 올리브캡슐 스페인산 냉압착 저산도 엑스트라버진,올리브오일,3주차,39900.0,2.0
11번가,클라리온 종합 멀티비타민 30정 24g 1박스 미네랄,멀티비타민,2주차,7980.0,2.0
11번가,클라리온 종합 멀티비타민 30정 24g 3박스 미네랄,멀티비타민,2주차,35910.0,3.0
11번가,클라리온 종합 멀티비타민 30정 24g 6박스 미네랄,멀티비타민,2주차,23940.0,1.0
11번가,클라리온 칼마디아K 30정 40.5g 1박스 칼슘 마그네슘 영양제,칼마디아K,1주차,3990.0,1.0
11번가,클라리온 칼마디아K 30정 40.5g 3박스 칼슘 마그네슘 영양제,칼마디아K,1주차,23940.0,2.0
11번가,클라리온 코엔자임 Q10 코큐텐 30캡슐 15g 1박스,코엔자임Q10,1주차,23940.0,6.0
11번가,클라리온 코엔자임 Q10 코큐텐 30캡슐 15g 3박스,코엔자임Q10,1주차,23940.0,2.0
11번가,클라리온 코엔자임 Q10 코큐텐 30캡슐 15g 3박스,코엔자임Q10,2주차,23940.0,2.0
11번가,클라리온 코엔자임 Q10 코큐텐 30캡슐 15g 5박스,코엔자임Q10,1주차,119700.0,6.0
11번가,클라리온 코엔자임 Q10 코큐텐 30캡슐 15g 5박스,코엔자임Q10,2주차,19950.0,1.0
11번가,클라리온 코엔자임 Q10 코큐텐 30캡슐 15g 5박스,코엔자임Q10,3주차,19950.0,1.0
11번가,클라리온 코엔자임 Q10 코큐텐 30캡슐 15g 6박스,코엔자임Q10,1주차,23940.0,1.0
11번가,클라리온 코엔자임 Q10 코큐텐 30캡슐 15g 6박스,코엔자임Q10,3주차,23940.0,1.0
11번가,클라리온 트리플 마그네슘 400 30정 36g 5박스,마그네슘,1주차,39900.0,2.0
11번가,클라리온 트리플 마그네슘 400 30정 36g 5박스,마그네슘,2주차,59850.0,3.0
11번가,클라리온 혈당컷 다이어트 30정 28.5g 1박스 녹차 카테킨 혈당관리,혈당컷,1주차,23940.0,6.0
11번가,클라리온 혈당컷 다이어트 30정 28.5g 1박스 녹차 카테킨 혈당관리,혈당컷,2주차,3990.0,1.0
11번가,클라리온 혈당컷 다이어트 30정 28.5g 3박스 녹차 카테킨 혈당관리,혈당컷,1주차,23940.0,2.0
11번가,클라리온 혈당컷 다이어트 30정 28.5g 3박스 녹차 카테킨 혈당관리,혈당컷,2주차,35910.0,3.0
11번가,클라리온 혈당컷 다이어트 30정 28.5g 5박스 녹차 카테킨 혈당관리,혈당컷,1주차,19950.0,1.0
11번가,클라리온 혈당컷 다이어트 30정 28.5g 5박스 녹차 카테킨 혈당관리,혈당컷,2주차,179550.0,9.0
11번가,클라리온 혈당컷 다이어트 30정 28.5g 6박스 녹차 카테킨 혈당관리,혈당컷,2주차,24940.0,1.0
11번가,클라리온 혈당컷 다이어트 30정 28.5g 6박스 녹차 카테킨 혈당관리,혈당컷,3주차,24940.0,1.0
옥션,클라리온 1인 가구템 5종 세트 (멀티비타민+비타민C+오메가3+루테인+MSM),세트/기획전,1주차,19900.0,1.0
옥션,클라리온 1인 가구템 5종 세트 (멀티비타민+비타민C+오메가3+루테인+MSM),세트/기획전,3주차,39800.0,2.0
옥션,클라리온 rTG 알티지 오메가3 25.05g 30캡슐 1개 EPA DHA 비타민A 비타민D,오메가3,1주차,7980.0,2.0
옥션,클라리온 rTG 알티지 오메가3 25.05g 30캡슐 1개 EPA DHA 비타민A 비타민D,오메가3,3주차,31920.0,8.0
옥션,클라리온 rTG 알티지 오메가3 25.05g 30캡슐 3개 EPA DHA 비타민A 비타민D,오메가3,2주차,11950.0,1.0
옥션,클라리온 rTG 알티지 오메가3 25.05g 30캡슐 5개 EPA DHA 비타민A 비타민D,오메가3,1주차,119400.0,6.0
옥션,클라리온 rTG 알티지 오메가3 25.05g 30캡슐 5개 EPA DHA 비타민A 비타민D,오메가3,2주차,79600.0,4.0
옥션,클라리온 rTG 알티지 오메가3 25.05g 30캡슐 6개 EPA DHA 비타민A 비타민D,오메가3,1주차,23890.0,1.0
옥션,클라리온 rTG 알티지 오메가3 25.05g 30캡슐 6개 EPA DHA 비타민A 비타민D,오메가3,2주차,23890.0,1.0
옥션,클라리온 루테인 15g 30캡슐 1개 눈건강,루테인,1주차,19950.0,5.0
옥션,클라리온 루테인 15g 30캡슐 3개 눈건강,루테인,2주차,11950.0,1.0
옥션,클라리온 루테인 15g 30캡슐 3개 눈건강,루테인,3주차,11950.0,1.0
옥션,클라리온 루테인 15g 30캡슐 5개 눈건강,루테인,1주차,39800.0,2.0
옥션,클라리온 루테인 15g 30캡슐 5개 눈건강,루테인,2주차,59700.0,3.0
옥션,클라리온 루테인 15g 30캡슐 5개 눈건강,루테인,3주차,39800.0,2.0
